"response"	"ADAMTS20"	"ARHGDIB"	"DGKQ"	"GGT1"	"MSI1"	"SEC14L2"	"SERPINI1"	"SV2A"	"TMSB15A"
"GSM467523"	"responsive"	774.5	635	856.5	879	801	778	875	868	199.5
"GSM467524"	"resistant"	771.5	691.666666666667	906.5	891	809	813.333333333333	892	851	224
"GSM467525"	"responsive"	867	710	1001.5	988	880	898.333333333333	970	949	486
"GSM467526"	"resistant"	701.5	625.666666666667	811.5	819	717	739.666666666667	817	767	117
"GSM467527"	"responsive"	725	611.333333333333	845.5	800	726	751.333333333333	910	786	374
"GSM467528"	"responsive"	762.5	654	910	869	806	796.333333333333	874	822	283.5
"GSM467529"	"responsive"	853.5	729.333333333333	978.5	955	903	892	990	947	354
"GSM467530"	"responsive"	783.5	663.666666666667	957	887	810	782.666666666667	920	848	403.5
"GSM467531"	"responsive"	837	758.333333333333	954	929	863	845.666666666667	948	901	417
"GSM467532"	"resistant"	754	663.666666666667	902.5	849	796	792.666666666667	938	832	169
"GSM467533"	"resistant"	796	715.333333333333	898	899	812	818	846	845	150
"GSM467534"	"responsive"	773.5	643.333333333333	875.5	872	785	796	926	837	229.5
"GSM467535"	"resistant"	783	678	889	856	811	803.333333333333	825	830	106.5
"GSM467536"	"resistant"	787.5	682.666666666667	921.5	894	817	827	905	851	94.5
"GSM467537"	"responsive"	761.5	647.333333333333	888.5	858	807	781.666666666667	1036	816	308.5
"GSM467538"	"resistant"	765.5	642.666666666667	891.5	880	806	797.666666666667	842	901	383
"GSM467539"	"responsive"	843	759	1014	961	861	875.333333333333	867	912	210.5
"GSM467540"	"responsive"	813	718	919.5	915	832	837.333333333333	891	904	81.5
"GSM467541"	"responsive"	807.5	716.333333333333	946	943	849	830.666666666667	992	901	518
"GSM467542"	"responsive"	788	661.666666666667	976.5	881	832	803	881	855	439
"GSM467543"	"resistant"	779.5	697.333333333333	926.5	898	802	820.333333333333	1141	840	181
"GSM467544"	"resistant"	847	749.666666666667	947.5	973	882	909.666666666667	941	914	307.5
"GSM467545"	"responsive"	846.5	866	978.5	934	884	886.666666666667	1001	922	232.5
"GSM467546"	"responsive"	775	697.666666666667	914	854	814	798.333333333333	819	828	423
