Gene	Freq	prop	source
PIK3CA	193	0.41	TCGA
TP53	85	0.201	TCGA
CDH1	70	0.166	TCGA
GATA3	66	0.152	TCGA
MAP3K1	77	0.118	TCGA
KMT2C	56	0.109	TCGA
TBX3	23	0.055	TCGA
RUNX1	24	0.052	TCGA
MAP2K4	22	0.052	TCGA
PTEN	22	0.05	TCGA
ARID1A	22	0.045	TCGA
LRP1B	30	0.045	TCGA
PCLO	21	0.043	TCGA
AKT1	16	0.038	TCGA
FOXA1	16	0.038	TCGA
NF1	19	0.038	TCGA
NCOR1	17	0.038	TCGA
CBFB	15	0.036	TCGA
ATRX	20	0.033	TCGA
CHD4	14	0.033	TCGA
MYH9	15	0.033	TCGA
PIK3R1	14	0.031	TCGA
FAT1	14	0.028	TCGA
TAF1	13	0.028	TCGA
TPR	14	0.028	TCGA
ARID1A	3	0.333333333333333	PDX
ATRX	6	0.666666666666667	PDX
CBFB	1	0.111111111111111	PDX
CDH1	2	0.222222222222222	PDX
FAT1	1	0.111111111111111	PDX
KMT2C	1	0.111111111111111	PDX
LRP1B	1	0.111111111111111	PDX
NCOR1	1	0.111111111111111	PDX
PCLO	1	0.111111111111111	PDX
TAF1	1	0.111111111111111	PDX
TP53	4	0.444444444444444	PDX
PIK3CA	0	0	PDX
GATA3	0	0	PDX
MAP3K1	0	0	PDX
TBX3	0	0	PDX
RUNX1	0	0	PDX
MAP2K4	0	0	PDX
PTEN	0	0	PDX
AKT1	0	0	PDX
FOXA1	0	0	PDX
NF1	0	0	PDX
CHD4	0	0	PDX
MYH9	0	0	PDX
PIK3R1	0	0	PDX
TPR	0	0	PDX
