Gene	Freq	prop	source
TP53	86	0.748	TCGA
PIK3CA	14	0.087	TCGA
KMT2D	11	0.087	TCGA
RELN	9	0.078	TCGA
PTEN	10	0.078	TCGA
BRCA1	8	0.07	TCGA
CREBBP	9	0.07	TCGA
TPR	7	0.061	TCGA
SMG1	8	0.061	TCGA
FBXW7	7	0.061	TCGA
ARID1B	7	0.061	TCGA
NF1	7	0.052	TCGA
STAT4	6	0.052	TCGA
LRP1B	6	0.052	TCGA
RNF213	8	0.052	TCGA
ATRX	7	0.043	TCGA
ERBB4	5	0.043	TCGA
MYH9	6	0.043	TCGA
RB1	5	0.043	TCGA
ANKRD11	6	0.043	TCGA
UBR5	5	0.043	TCGA
ATM	4	0.035	TCGA
PRDM1	4	0.035	TCGA
BRCA2	4	0.035	TCGA
EPHB1	5	0.035	TCGA
ANKRD11	2	0.0307692307692308	PDX
ARID1B	11	0.169230769230769	PDX
ATM	2	0.0307692307692308	PDX
ATRX	29	0.446153846153846	PDX
BRCA1	11	0.169230769230769	PDX
BRCA2	8	0.123076923076923	PDX
CREBBP	1	0.0153846153846154	PDX
EPHB1	3	0.0461538461538462	PDX
FBXW7	4	0.0615384615384615	PDX
KMT2D	4	0.0615384615384615	PDX
LRP1B	3	0.0461538461538462	PDX
MYH9	3	0.0461538461538462	PDX
NF1	5	0.0769230769230769	PDX
PIK3CA	6	0.0923076923076923	PDX
PTEN	3	0.0461538461538462	PDX
RB1	10	0.153846153846154	PDX
RELN	8	0.123076923076923	PDX
RNF213	7	0.107692307692308	PDX
SMG1	5	0.0769230769230769	PDX
STAT4	2	0.0307692307692308	PDX
TP53	56	0.861538461538462	PDX
TPR	4	0.0615384615384615	PDX
UBR5	8	0.123076923076923	PDX
ERBB4	0	0	PDX
PRDM1	0	0	PDX
