"","V1","V2"
"1","NLRP2","grey"
"2","MFAP5","bisque4"
"3","TBX18","grey"
"4","MAGEA6","grey"
"5","TGIF2.C20orf24","grey"
"6","PEG3","grey"
"7","FDCSP","lightgreen"
"8","SPARC","salmon"
"9","ZFP91.CNTF","grey"
"10","CDH19","black"
"11","CRHR1","grey"
"12","HLA.DQB1","grey"
"13","ZNF727","grey"
"14","MYEOV","grey"
"15","HAPLN1","grey"
"16","OLFM1","grey"
"17","TPTEP1","grey"
"18","PTPRT","darkturquoise"
"19","MAGEA3","saddlebrown"
"20","MUCL1","yellow"
"21","TRIM58","grey"
"22","HOXB9","grey"
"23","TMEM189.UBE2V1","grey"
"24","PTN","grey"
"25","NLGN4X","grey"
"26","IGSF1","floralwhite"
"27","LTF","lightgreen"
"28","LOC285505","yellow"
"29","LINC01224","grey"
"30","GPR75.ASB3","darkslateblue"
"31","FBXL7","darkturquoise"
"32","HAND2","grey"
"33","BRINP3","grey"
"34","DEFB1","grey"
"35","GRIN2A","grey"
"36","COL3A1","lightsteelblue1"
"37","GABRB3","grey"
"38","CSF2RA","grey"
"39","TEX15","paleturquoise"
"40","LOC100128885","grey"
"41","KRT81","grey"
"42","MUC5AC","midnightblue"
"43","INO80B.WBP1","greenyellow"
"44","MUC12","midnightblue"
"45","SLC17A9","grey"
"46","NCAN","grey"
"47","HOXA7","bisque4"
"48","KIF1A","grey"
"49","ACAN","orange"
"50","HOXA9","grey"
"51","C1orf186","grey"
"52","HOXA5","grey"
"53","CYYR1","orange"
"54","IFI16","grey"
"55","HSPB8","darkslateblue"
"56","PPP1R1A","grey"
"57","EDIL3","black"
"58","HOXB2","grey"
"59","SPHKAP","grey"
"60","GRIK3","floralwhite"
"61","CCDC8","grey"
"62","TDRD1","darkslateblue"
"63","HLA.DPB1","grey"
"64","CLIC3","darkslateblue"
"65","GABRG3","pink"
"66","KCTD14","darkred"
"67","HOXB6","saddlebrown"
"68","NTRK2","black"
"69","ZFHX4","grey"
"70","LINC01806","black"
"71","ZNF257","grey"
"72","SLITRK4","grey"
"73","ZFPM2","darkseagreen4"
"74","DLX1","cyan"
"75","BRINP1","grey"
"76","IFI27","magenta"
"77","TRO","darkred"
"78","CYBA","greenyellow"
"79","MYBPC1","grey"
"80","ST8SIA6.AS1","grey"
"81","FOXF2","bisque4"
"82","A2M","black"
"83","IGFN1","midnightblue"
"84","LINC01667","grey"
"85","KIAA1644","grey"
"86","FLRT2","darkgrey"
"87","FOXQ1","bisque4"
"88","LINC02538","grey"
"89","PIP","yellow"
"90","RNF212","grey"
"91","ZIC2","grey"
"92","GSTM1","grey"
"93","LY6D","darkolivegreen"
"94","ALOX15","darkslateblue"
"95","HOXA4","brown4"
"96","SCGB2A2","skyblue3"
"97","NID1","black"
"98","SLC6A15","grey"
"99","HOXA10.AS","grey"
"100","KCNQ3","grey"
"101","HLA.DPA1","lightgreen"
"102","SCEL","darkslateblue"
"103","ICAM2","greenyellow"
"104","HOXB13","grey"
"105","ANPEP","grey"
"106","VCAN","grey"
"107","CLEC11A","darkslateblue"
"108","MAGI2.AS3","darkgrey"
"109","APOBEC3C","grey"
"110","CPXM2","lightgreen"
"111","B4GALNT2","grey"
"112","C10orf90","grey"
"113","GJA9","grey"
"114","F2RL3","grey"
"115","EGFLAM","darkred"
"116","CALML5","darkslateblue"
"117","GRAMD1B","grey"
"118","SBSN","darkslateblue"
"119","CELF2","darkred"
"120","CYP4F3","grey"
"121","GABRA5","paleturquoise"
"122","LINC01139","grey"
"123","CNTNAP2","grey"
"124","LPL","grey"
"125","XKR5","palevioletred3"
"126","PCDH11X","grey"
"127","DLC1","skyblue"
"128","ZFP57","grey"
"129","AGR2","yellow"
"130","LAMA1","grey"
"131","GJA1","black"
"132","SLC44A5","grey"
"133","EGFL7","darkslateblue"
"134","CXCL5","grey"
"135","AFF2","grey"
"136","DMBX1","ivory"
"137","PRSS33","salmon"
"138","HAS2","black"
"139","ENPEP","grey"
"140","ACTG2","thistle1"
"141","SCGB1D2","grey"
"142","PTH2R","grey"
"143","ANO5","grey"
"144","SYT13","grey"
"145","BCL11B","grey"
"146","NDUFA4L2","greenyellow"
"147","ZNF423","grey"
"148","THBD","greenyellow"
"149","SPDEF","darkslateblue"
"150","GJB6","grey"
"151","GSTA1","grey"
"152","STK32A","grey"
"153","BCHE","grey"
"154","MYO3A","darkgrey"
"155","TMEM179","grey"
"156","ASB2","darkslateblue"
"157","REXO1L2P","midnightblue"
"158","SIX3.AS1","skyblue"
"159","RBAKDN","darkslateblue"
"160","SERPINB7","grey"
"161","FMO2","lightcyan1"
"162","LRP2","lightsteelblue1"
"163","ZNF677","grey"
"164","HRASLS5","darkslateblue"
"165","PDCD6IPP2","grey"
"166","EPB41L3","grey"
"167","HOXD8","bisque4"
"168","CDH5","floralwhite"
"169","NPW","darkslateblue"
"170","LOC729162","grey"
"171","NTRK3","lightsteelblue1"
"172","ST8SIA2","cyan"
"173","LRRC32","lightcyan1"
"174","TOX3","grey"
"175","POSTN","lightsteelblue1"
"176","HOXB4","grey"
"177","ASXL3","grey"
"178","RHOJ","darkmagenta"
"179","NUDT16P1","grey"
"180","CD74","lightgreen"
"181","HIST1H3J","grey"
"182","POTEF","grey"
"183","FAM180A","grey"
"184","FAM19A5","grey"
"185","MEF2C","black"
"186","ABO","grey"
"187","SLC1A3","grey"
"188","FHL1","grey"
"189","COL11A1","grey"
"190","NRN1","grey"
"191","CRISP3","lightcyan"
"192","ST8SIA4","grey"
"193","CP","white"
"194","CFAP47","grey"
"195","ELN","grey"
"196","CASP14","grey"
"197","GPRC5C","darkslateblue"
"198","VAV1","pink"
"199","LOC375196","grey"
"200","FAM47E.STBD1","grey"
"201","CALB2","grey"
"202","RHBDL3","darkgreen"
"203","HAGLR","darkslateblue"
"204","HOXA.AS3","grey"
"205","DMRT1","grey"
"206","MROH7","grey"
"207","MT1E","midnightblue"
"208","KCNV1","grey"
"209","WDR17","grey"
"210","PIGR","darkslateblue"
"211","NFASC","royalblue"
"212","RFLNA","orange"
"213","CHMP1B2P","grey"
"214","BCAT1","black"
"215","CDHR1","grey"
"216","OLFM4","lightcyan1"
"217","GABRB2","grey"
"218","CEACAM5","yellow"
"219","COL2A1","lightsteelblue1"
"220","DMRT3","darkturquoise"
"221","EXTL1","orange"
"222","KRT83","grey"
"223","ADGRG2","grey"
"224","FLT4","darkturquoise"
"225","ANOS1","grey"
"226","PPP1R16B","lightgreen"
"227","POM121L2","ivory"
"228","ARHGAP25","grey"
"229","COL1A2","grey"
"230","CNTN4","grey"
"231","LINP1","lightcyan"
"232","PDLIM4","grey"
"233","FMOD","grey"
"234","ADAMTS5","darkslateblue"
"235","TFAP2B","grey"
"236","LINC00707","lightcyan"
"237","CHST11","skyblue3"
"238","KLK13","grey"
"239","GTF2H2","grey"
"240","HOXA3","grey"
"241","NLRP1","grey"
"242","LRRIQ1","grey"
"243","ADAMTS4","black"
"244","CELF5","darkslateblue"
"245","KIAA1549L","plum1"
"246","CYP2S1","greenyellow"
"247","RAI2","grey"
"248","USH1C","grey"
"249","APOE","greenyellow"
"250","CCND2","grey"
"251","ANKRD20A3","darkorange2"
"252","ARHGAP20","pink"
"253","CSTA","darkslateblue"
"254","LOC101929128","grey"
"255","DSG3","bisque4"
"256","CSMD2","grey"
"257","TAGLN3","darkgreen"
"258","IFITM2","darkslateblue"
"259","VGLL1","grey"
"260","EREG","pink"
"261","HOXA10","grey"
"262","EEF1A2","lightcyan"
"263","CXCL14","grey"
"264","TLL1","grey"
"265","CDYL2","grey"
"266","CDH11","darkgrey"
"267","S100A2","darkolivegreen"
"268","VEGFC","grey"
"269","DSG1","grey"
"270","MROH7.TTC4","grey"
"271","PNMA2","cyan"
"272","PALM","ivory"
"273","PDX1","darkturquoise"
"274","MAL","grey"
"275","S100A9","brown4"
"276","SULT4A1","grey"
"277","ALOX15B","grey"
"278","LINC01606","grey"
"279","PRSS21","grey"
"280","IGFL1","darkslateblue"
"281","FAM83A","lightcyan"
"282","NOVA1","darkgrey"
"283","REEP6","darkslateblue"
"284","FIBIN","grey"
"285","SCGB2A1","grey"
"286","ZIK1","grey"
"287","RUNX1.IT1","grey"
"288","C8orf48","palevioletred3"
"289","SYCP2L","grey"
"290","SPP1","black"
"291","KIAA0408","brown4"
"292","GPR12","brown4"
"293","COL15A1","thistle1"
"294","ZNF98","grey"
"295","S100P","green"
"296","SCN2A","grey"
"297","TMEM176A","grey"
"298","KLK7","grey"
"299","BMP2","grey"
"300","PRUNE2","grey"
"301","SYN3","greenyellow"
"302","ERG","grey"
"303","CDH2","black"
"304","KLK11","grey"
"305","CCDC129","grey"
"306","CSAG3","grey"
"307","EDA2R","grey"
"308","NLGN1","grey"
"309","GATA2.AS1","yellow"
"310","ATP2B2","grey"
"311","CELF2.AS2","darkred"
"312","CHRD","darkgreen"
"313","VAX1","grey"
"314","ZNF334","grey"
"315","CSPG4","plum1"
"316","TBX15","grey"
"317","DUSP27","grey"
"318","MGAM2","pink"
"319","PROKR2","grey"
"320","NUDT11","plum2"
"321","TRPA1","grey"
"322","PGR","midnightblue"
"323","C3","salmon4"
"324","DCX","salmon"
"325","ZNF765.ZNF761","grey"
"326","LINC00664","grey"
"327","TLX1","greenyellow"
"328","PCSK9","grey"
"329","PLPPR1","grey"
"330","FAM106A","brown4"
"331","MT1M","midnightblue"
"332","MOGAT2","darkolivegreen"
"333","AKT3","darkslateblue"
"334","PRKG1","grey"
"335","SGCD","darkslateblue"
"336","MUC19","yellow"
"337","C1QTNF3.AMACR","grey"
"338","PNMA8B","grey"
"339","PGBD5","grey"
"340","KLK5","grey"
"341","ST20.MTHFS","darkslateblue"
"342","OBP2B","grey"
"343","FGFBP1","grey"
"344","APOBEC3G","black"
"345","HOXC12","grey"
"346","MATK","greenyellow"
"347","CNTFR","grey"
"348","KCNMB1","pink"
"349","PCDH11Y","grey"
"350","XIST","grey"
"351","IL2RA","lightyellow"
"352","LEF1","cyan"
"353","SYT8","darkslateblue"
"354","ARHGAP40","grey"
"355","WIF1","darkmagenta"
"356","RCSD1","green"
"357","ERBB4","grey"
"358","PARP8","grey"
"359","MGAT3","grey"
"360","CD248","grey"
"361","ACTL8","grey"
"362","MT1L","midnightblue"
"363","VIT","grey"
"364","ZNF826P","grey"
"365","FLJ41200","grey"
"366","COL22A1","grey"
"367","SLC7A2","grey"
"368","MAGEB4","grey"
"369","KBTBD11","darkturquoise"
"370","LMO2","lightcyan"
"371","HS3ST3A1","magenta"
"372","HOXA2","grey"
"373","CYP4F11","grey"
"374","MSLN","grey"
"375","PTPRZ1","grey"
"376","CWH43","darkslateblue"
"377","SULF1","black"
"378","TNNI2","darkslateblue"
"379","FZD10","salmon4"
"380","CHST4","grey"
"381","TNNC1","darkslateblue"
"382","KRT6C","grey"
"383","ARL11","plum1"
"384","GAS7","grey"
"385","HES2","darkslateblue"
"386","ANGPT1","darkmagenta"
"387","TNFRSF11B","grey"
"388","GUCY1A2","grey"
"389","FN1","black"
"390","NBPF4","grey"
"391","S100A7","darkolivegreen"
"392","IL6","honeydew1"
"393","KLKB1","grey"
"394","ITIH6","grey"
"395","TENM3","grey"
"396","PARVG","grey"
"397","BARX1","greenyellow"
"398","XYLT1","cyan"
"399","SHISA9","grey"
"400","B3GAT1","grey"
"401","TUBB4A","greenyellow"
"402","PPP4R4","darkorange2"
"403","KLK1","darkslateblue"
"404","FAM167A","grey"
"405","MIR100HG","grey"
"406","PHYHIPL","grey"
"407","GSTM2","grey"
"408","KIF5A","cyan"
"409","DIO2","grey"
"410","MAOB","black"
"411","IQCA1","grey"
"412","HEY2","grey"
"413","BTBD11","lavenderblush3"
"414","SERPINB2","grey"
"415","ISG15","grey"
"416","CST6","darkslateblue"
"417","SNAI2","black"
"418","SEMA3D","grey"
"419","PRKCQ.AS1","grey"
"420","KRT5","grey"
"421","KCNK3","grey"
"422","CDH13","greenyellow"
"423","CYP26B1","grey"
"424","LINC00473","grey"
"425","CYP8B1","darkslateblue"
"426","TRIM43","grey"
"427","ADAM23","black"
"428","ECEL1","darkgreen"
"429","ELFN2","darkslateblue"
"430","MUC2","darkslateblue"
"431","LRRC55","grey"
"432","SELENOP","grey"
