V1	V2
NLRP2	grey
MFAP5	bisque4
TBX18	grey
MAGEA6	grey
TGIF2.C20orf24	grey
PEG3	grey
FDCSP	lightgreen
SPARC	salmon
ZFP91.CNTF	grey
CDH19	black
CRHR1	grey
HLA.DQB1	grey
ZNF727	grey
MYEOV	grey
HAPLN1	grey
OLFM1	grey
TPTEP1	grey
PTPRT	darkturquoise
MAGEA3	saddlebrown
MUCL1	yellow
TRIM58	grey
HOXB9	grey
TMEM189.UBE2V1	grey
PTN	grey
NLGN4X	grey
IGSF1	floralwhite
LTF	lightgreen
LOC285505	yellow
LINC01224	grey
GPR75.ASB3	darkslateblue
FBXL7	darkturquoise
HAND2	grey
BRINP3	grey
DEFB1	grey
GRIN2A	grey
COL3A1	lightsteelblue1
GABRB3	grey
CSF2RA	grey
TEX15	paleturquoise
LOC100128885	grey
KRT81	grey
MUC5AC	midnightblue
INO80B.WBP1	greenyellow
MUC12	midnightblue
SLC17A9	grey
NCAN	grey
HOXA7	bisque4
KIF1A	grey
ACAN	orange
HOXA9	grey
C1orf186	grey
HOXA5	grey
CYYR1	orange
IFI16	grey
HSPB8	darkslateblue
PPP1R1A	grey
EDIL3	black
HOXB2	grey
SPHKAP	grey
GRIK3	floralwhite
CCDC8	grey
TDRD1	darkslateblue
HLA.DPB1	grey
CLIC3	darkslateblue
GABRG3	pink
KCTD14	darkred
HOXB6	saddlebrown
NTRK2	black
ZFHX4	grey
LINC01806	black
ZNF257	grey
SLITRK4	grey
ZFPM2	darkseagreen4
DLX1	cyan
BRINP1	grey
IFI27	magenta
TRO	darkred
CYBA	greenyellow
MYBPC1	grey
ST8SIA6.AS1	grey
FOXF2	bisque4
A2M	black
IGFN1	midnightblue
LINC01667	grey
KIAA1644	grey
FLRT2	darkgrey
FOXQ1	bisque4
LINC02538	grey
PIP	yellow
RNF212	grey
ZIC2	grey
GSTM1	grey
LY6D	darkolivegreen
ALOX15	darkslateblue
HOXA4	brown4
SCGB2A2	skyblue3
NID1	black
SLC6A15	grey
HOXA10.AS	grey
KCNQ3	grey
HLA.DPA1	lightgreen
SCEL	darkslateblue
ICAM2	greenyellow
HOXB13	grey
ANPEP	grey
VCAN	grey
CLEC11A	darkslateblue
MAGI2.AS3	darkgrey
APOBEC3C	grey
CPXM2	lightgreen
B4GALNT2	grey
C10orf90	grey
GJA9	grey
F2RL3	grey
EGFLAM	darkred
CALML5	darkslateblue
GRAMD1B	grey
SBSN	darkslateblue
CELF2	darkred
CYP4F3	grey
GABRA5	paleturquoise
LINC01139	grey
CNTNAP2	grey
LPL	grey
XKR5	palevioletred3
PCDH11X	grey
DLC1	skyblue
ZFP57	grey
AGR2	yellow
LAMA1	grey
GJA1	black
SLC44A5	grey
EGFL7	darkslateblue
CXCL5	grey
AFF2	grey
DMBX1	ivory
PRSS33	salmon
HAS2	black
ENPEP	grey
ACTG2	thistle1
SCGB1D2	grey
PTH2R	grey
ANO5	grey
SYT13	grey
BCL11B	grey
NDUFA4L2	greenyellow
ZNF423	grey
THBD	greenyellow
SPDEF	darkslateblue
GJB6	grey
GSTA1	grey
STK32A	grey
BCHE	grey
MYO3A	darkgrey
TMEM179	grey
ASB2	darkslateblue
REXO1L2P	midnightblue
SIX3.AS1	skyblue
RBAKDN	darkslateblue
SERPINB7	grey
FMO2	lightcyan1
LRP2	lightsteelblue1
ZNF677	grey
HRASLS5	darkslateblue
PDCD6IPP2	grey
EPB41L3	grey
HOXD8	bisque4
CDH5	floralwhite
NPW	darkslateblue
LOC729162	grey
NTRK3	lightsteelblue1
ST8SIA2	cyan
LRRC32	lightcyan1
TOX3	grey
POSTN	lightsteelblue1
HOXB4	grey
ASXL3	grey
RHOJ	darkmagenta
NUDT16P1	grey
CD74	lightgreen
HIST1H3J	grey
POTEF	grey
FAM180A	grey
FAM19A5	grey
MEF2C	black
ABO	grey
SLC1A3	grey
FHL1	grey
COL11A1	grey
NRN1	grey
CRISP3	lightcyan
ST8SIA4	grey
CP	white
CFAP47	grey
ELN	grey
CASP14	grey
GPRC5C	darkslateblue
VAV1	pink
LOC375196	grey
FAM47E.STBD1	grey
CALB2	grey
RHBDL3	darkgreen
HAGLR	darkslateblue
HOXA.AS3	grey
DMRT1	grey
MROH7	grey
MT1E	midnightblue
KCNV1	grey
WDR17	grey
PIGR	darkslateblue
NFASC	royalblue
RFLNA	orange
CHMP1B2P	grey
BCAT1	black
CDHR1	grey
OLFM4	lightcyan1
GABRB2	grey
CEACAM5	yellow
COL2A1	lightsteelblue1
DMRT3	darkturquoise
EXTL1	orange
KRT83	grey
ADGRG2	grey
FLT4	darkturquoise
ANOS1	grey
PPP1R16B	lightgreen
POM121L2	ivory
ARHGAP25	grey
COL1A2	grey
CNTN4	grey
LINP1	lightcyan
PDLIM4	grey
FMOD	grey
ADAMTS5	darkslateblue
TFAP2B	grey
LINC00707	lightcyan
CHST11	skyblue3
KLK13	grey
GTF2H2	grey
HOXA3	grey
NLRP1	grey
LRRIQ1	grey
ADAMTS4	black
CELF5	darkslateblue
KIAA1549L	plum1
CYP2S1	greenyellow
RAI2	grey
USH1C	grey
APOE	greenyellow
CCND2	grey
ANKRD20A3	darkorange2
ARHGAP20	pink
CSTA	darkslateblue
LOC101929128	grey
DSG3	bisque4
CSMD2	grey
TAGLN3	darkgreen
IFITM2	darkslateblue
VGLL1	grey
EREG	pink
HOXA10	grey
EEF1A2	lightcyan
CXCL14	grey
TLL1	grey
CDYL2	grey
CDH11	darkgrey
S100A2	darkolivegreen
VEGFC	grey
DSG1	grey
MROH7.TTC4	grey
PNMA2	cyan
PALM	ivory
PDX1	darkturquoise
MAL	grey
S100A9	brown4
SULT4A1	grey
ALOX15B	grey
LINC01606	grey
PRSS21	grey
IGFL1	darkslateblue
FAM83A	lightcyan
NOVA1	darkgrey
REEP6	darkslateblue
FIBIN	grey
SCGB2A1	grey
ZIK1	grey
RUNX1.IT1	grey
