"","V1","V2"
"1","Gzmf","indianred4"
"2","H2.Q7","black"
"3","Oxtr","coral2"
"4","Rsc1a1","black"
"5","Pnpla3","magenta"
"6","Pira1","yellow4"
"7","Chil1","coral2"
"8","Dsp","coral2"
"9","Myl1","darkseagreen4"
"10","Prss35","darkmagenta"
"11","Bche","magenta"
"12","Lgals12","magenta"
"13","Dbpht2","darkmagenta"
"14","Ces1d","magenta"
"15","Lef1","black"
"16","Col17a1","coral2"
"17","Acta1","darkseagreen4"
"18","Lep","magenta"
"19","Kcna1","magenta"
"20","Slc4a1","black"
"21","Ifi214","salmon"
"22","Naip7","white"
"23","Plet1","darkorange"
"24","Fam83a","midnightblue"
"25","Mpz","plum"
"26","Syn3","plum2"
"27","Mfsd4b3","darkslateblue"
"28","Cap2","grey"
"29","Adora1","magenta"
"30","Galr2","midnightblue"
"31","Icos","mediumpurple2"
"32","Pgr","black"
"33","C130021I20Rik","white"
"34","Diras2","mediumpurple3"
"35","Aqp7","magenta"
"36","Rapgefl1","red"
"37","Pgbd1","black"
"38","Ccdc114","salmon2"
"39","Samd3","orange"
"40","Fgf21","red"
"41","Mag","darkorange"
"42","H2.Q6","grey"
"43","Erbb3","coral2"
"44","Ugt1a5","yellow4"
"45","Cacna1e","skyblue2"
"46","Glycam1","brown2"
"47","Dsc2","plum"
"48","X3000002C10Rik","grey"
"49","Cers1","black"
"50","Rhov","red"
"51","Wnt4","grey"
"52","Adra1a","magenta"
"53","Miat","grey"
"54","Prtn3","magenta"
"55","Rspo1","lightcyan1"
"56","Robo2","darkmagenta"
"57","Cyp2e1","magenta"
"58","Cfi","salmon2"
"59","Hist1h2ap","thistle1"
"60","Phyhipl","thistle3"
"61","Scel","darkmagenta"
"62","Cma1","magenta"
"63","A430090L17Rik","black"
"64","Arc","black"
"65","Arhgap8","black"
"66","Gpm6a","magenta"
"67","Mlxipl","magenta"
"68","Nlrp10","magenta"
"69","Chadl","black"
"70","P4htm","black"
"71","Smpd3","black"
"72","Prob1","magenta"
"73","Lad1","grey"
"74","Crispld1","darkred"
"75","Nipal4","salmon4"
"76","Angptl1","grey"
"77","Ccdc60","black"
"78","Retnla","black"
"79","Trp63","grey"
"80","X4833418N02Rik","grey"
"81","X1500004A13Rik","mediumorchid"
"82","Slc16a14","black"
"83","Tmem163","black"
"84","Fxyd2","magenta"
"85","Il7","thistle1"
"86","Kif19a","coral1"
"87","Klrc1","orange"
"88","Tbx5","navajowhite2"
"89","Lix1","white"
"90","Slc12a5","grey"
"91","Mup2","magenta"
"92","Ggt7","black"
"93","Tnfsf15","black"
"94","Tmem151b","floralwhite"
"95","Sept3","grey"
"96","Fras1","brown4"
"97","Acss3","magenta"
"98","Cd96","orange"
"99","Dnmt3aos","floralwhite"
"100","Dnmt3l","palevioletred3"
"101","Fam161b","black"
"102","Fcho1","black"
"103","Iqsec3","black"
"104","Mylpf","mediumpurple3"
"105","Nxph4","midnightblue"
"106","Olfr56","lightcyan1"
"107","Serpina3c","magenta"
"108","Zfp296","black"
"109","C530005A16Rik","white"
"110","Cabp1","midnightblue"
"111","Has1","grey"
"112","Pygm","darkseagreen4"
"113","Nrap","darkseagreen4"
"114","Prf1","orange"
"115","Gm9079","black"
"116","BC035044","mediumpurple2"
"117","Tfap2a","coral2"
"118","Vmn2r29","black"
"119","X3830417A13Rik","brown2"
"120","Ccdc116","saddlebrown"
"121","Ankle1","lightcyan1"
"122","Crabp1","darkmagenta"
"123","Trmo","black"
"124","Cd8a","maroon"
"125","Gimap3","orange"
"126","Cd209e","plum"
"127","X1700028K03Rik","grey"
"128","Efcc1","grey"
"129","Ntrk3","greenyellow"
"130","Ppp1r3e","grey"
"131","Thpo","lightcoral"
"132","Tnni2","darkseagreen4"
"133","X4930429F24Rik","black"
"134","A630066F11Rik","grey"
"135","Casq1","darkseagreen4"
"136","Ccl19","black"
"137","Drd1","grey"
"138","Magix","grey"
"139","Npy","black"
"140","Rbm3os","black"
"141","Slc12a8","orangered4"
"142","Slit1","lightcoral"
"143","Spib","black"
"144","Syt4","midnightblue"
"145","Ube2ql1","black"
"146","Cd27","black"
"147","Dok5","yellowgreen"
"148","Lrat","black"
"149","Bcas3os1","black"
"150","Krt19","darkorange2"
"151","Hapln3","black"
"152","X4833417C18Rik","grey"
"153","Aspa","black"
"154","B130024G19Rik","mediumorchid"
"155","B230216N24Rik","thistle1"
"156","Flrt1","darkmagenta"
"157","Gabre","thistle1"
"158","Pacsin1","grey"
"159","Smad9","black"
"160","Clec2e","mediumorchid"
"161","Lypd1","black"
"162","Kctd4","magenta4"
"163","D330041H03Rik","coral1"
"164","Psma8","grey"
"165","Stox1","black"
"166","A330074K22Rik","black"
"167","Baalc","indianred4"
"168","Cd300e","darkseagreen4"
"169","Fcrlb","darkmagenta"
"170","Gzmg","indianred4"
"171","Lmo1","red"
"172","Nudt12","white"
"173","Rasd1","magenta"
"174","Rhpn2","white"
"175","Slc2a12","lightgreen"
"176","Zap70","black"
"177","Zfp428","black"
"178","Atp2a1","darkseagreen4"
"179","Scn2b","midnightblue"
"180","Mok","black"
"181","Scml4","black"
"182","Hist1h4k","black"
"183","X4732416N19Rik","red"
"184","Hoga1","grey"
"185","X9230102K24Rik","black"
"186","Adra1d","lightgreen"
"187","Fam169a","darkmagenta"
"188","Gm8773","black"
"189","Kirrel3","black"
"190","Tnfrsf25","black"
"191","Tnnt1","darkseagreen4"
"192","Usp43","black"
"193","Klhl38","black"
"194","Tshr","magenta"
"195","Elovl7","magenta"
"196","Gm11110","black"
"197","Kifc5b","grey"
"198","Nat14","red"
"199","P2ry1","yellowgreen"
"200","Ppfia2","black"
"201","Rdh12","black"
"202","Slitrk2","magenta"
"203","Tm4sf5","mediumpurple2"
"204","Sidt1","magenta4"
"205","A230028O05Rik","grey"
"206","A430057M04Rik","midnightblue"
"207","Cpa6","darkmagenta"
"208","Fut9","ivory"
"209","Gldn","darkseagreen4"
"210","Gm15787","black"
"211","Gm5069","yellowgreen"
"212","Rassf7","black"
"213","Slc6a4","floralwhite"
"214","Wfikkn2","lightcoral"
"215","Zfp184","white"
"216","E130310I04Rik","yellow4"
"217","Cadps2","magenta"
"218","Retn","magenta"
"219","Gm15326","black"
"220","Klrb1a","midnightblue"
"221","Adam11","midnightblue"
"222","Akr1c12","black"
"223","Smtnl2","darkseagreen4"
"224","Egfl6","floralwhite"
"225","Tpsab1","honeydew1"
"226","Nron","grey"
"227","X1810041L15Rik","yellow4"
"228","X5031425F14Rik","lavenderblush2"
"229","X6230400D17Rik","white"
"230","Abca4","blue2"
"231","Ablim2","black"
"232","Bambi.ps1","thistle1"
"233","BC037704","coral1"
"234","Dcaf12l1","darkolivegreen4"
"235","Hoxa6","grey"
"236","Inpp5j","orange"
"237","Pdcd1lg2","maroon"
"238","Scn3a","magenta"
"239","Slc25a29","black"
"240","Tmem202","thistle3"
"241","Ankrd55","grey"
"242","Gm10584","black"
"243","Krt10","black"
"244","Phf21b","black"
"245","Serp2","red"
"246","Zfp964","darkturquoise"
"247","Kbtbd6","yellow4"
"248","Zfp239","black"
"249","Nrip2","ivory"
"250","Tram1l1","floralwhite"
"251","Gpr17","black"
"252","Ccdc17","salmon2"
"253","Pnma1","grey"
"254","X4833419F23Rik","black"
"255","X2010300C02Rik","coral1"
"256","Spata24","black"
"257","Ptpn5","black"
"258","Foxp3","grey"
"259","X4732471J01Rik","black"
"260","Cpt1b","white"
"261","Dnah17","black"
"262","Evpl","white"
"263","Gm11517","brown4"
"264","Gm11627","lightcoral"
"265","Gm16617","black"
"266","Gria1","mediumpurple2"
"267","Ltb4r1","black"
"268","Pabpc1l","black"
"269","Perm1","sienna3"
