cor	genes
0.429711564	ACLY
0.411104475	ALDH3B1
-0.417915879	ALKAL1
-0.46936033	ANAPC5
0.444527514	ANKMY2
-0.417319014	ARHGEF7.AS2
0.414076687	ARMC1
-0.412838106	CCR3
-0.51595914	CIT
-0.411450639	CITED1
0.414469654	CLUAP1
0.431408155	COL4A6
-0.406158988	DDX11
-0.433958858	DMRT2
0.411701749	EHBP1L1
0.429570879	EIF3D
-0.437499513	ELOVL7
-0.517029805	FBXO21
-0.47807345	GATC
0.44437872	GGT1
-0.443423343	GOLGA2P5
-0.402248488	GSTTP2
0.402954565	GTF2H2C_2
0.414529009	HERC2P3
-0.40909454	HIST2H2BF
-0.462258996	ING1
0.420769246	LINC00470
-0.445754312	LINC01869
-0.436945042	LINC02069
-0.400998514	LINC02417
0.425218269	LINC02427
-0.446790581	LINC02453
0.424161374	LOC101927692
0.424684782	LOC101929541
-0.407124983	LRAT
0.414395559	LRRC8E
-0.408713972	MAATS1
-0.494681205	MAGED4
-0.494681205	MAGED4B
-0.431532362	MAPKAPK5
0.42940011	MAPRE1
-0.46769409	MCOLN3
-0.471019303	MED12L
-0.572491945	MELTF.AS1
-0.418316906	MS4A8
-0.427379429	N4BP2L1
-0.484427646	NCOA7.AS1
0.434108886	NDRG3
0.434052086	NECTIN1
-0.409427708	NFYB
0.452222929	NIM1K
-0.400371833	NRROS
0.400093335	NSMAF
-0.488912759	OR1L8
-0.405878719	PCDHGB1
0.431088288	PNPO
0.47345175	RAB2A
-0.407361923	RAB39B
0.434892272	RAB5C
-0.570213309	RFC5
-0.420553829	RNFT2
-0.48751007	SH3BGRL2
-0.452242559	SLC16A10
0.495252864	SLC37A2
-0.42316266	SNORA15
0.441481399	SPRYD7
-0.402530503	STMN1
-0.455816765	SV2A
0.445885967	THRA
-0.425312183	TMEM151B
-0.459030243	TMPO
-0.408555566	TRO
-0.44898571	TRPC3
0.404070303	UBE2W
-0.43558309	UNC119B
-0.442564724	WDFY4
-0.524325245	ZNF367
