"cor"	"genes"
"X1700088E04Rik"	-0.406748032826594	"X1700088E04Rik"
"X2700097O09Rik"	0.429017094632395	"X2700097O09Rik"
"X2700099C18Rik"	0.415724979502786	"X2700099C18Rik"
"X2810408I11Rik"	0.454757224602382	"X2810408I11Rik"
"X4930431F12Rik"	-0.413852435714851	"X4930431F12Rik"
"X4930455H04Rik"	-0.438192639165305	"X4930455H04Rik"
"Ap3m2"	-0.473204443353919	"Ap3m2"
"Bdh2"	0.470547349244502	"Bdh2"
"Brca1"	0.437440109931923	"Brca1"
"C530005A16Rik"	-0.406270830166926	"C530005A16Rik"
"Clpb"	0.435682175705408	"Clpb"
"Crebl2"	0.424789422458017	"Crebl2"
"Cysltr2"	0.421575521092897	"Cysltr2"
"Depdc1a"	0.438146789123982	"Depdc1a"
"Dgkq"	0.416440434999407	"Dgkq"
"Fam124b"	0.418347625026216	"Fam124b"
"Gm10658"	0.442151452369445	"Gm10658"
"Gm10791"	0.47542583197529	"Gm10791"
"Lgi1"	0.402083818839317	"Lgi1"
"Neil3"	0.40142005205817	"Neil3"
"Plekhn1"	0.490825920855767	"Plekhn1"
"Ptgir"	0.457785338735824	"Ptgir"
"Rbp7"	0.421779262984168	"Rbp7"
"Rnf152"	0.436609042465393	"Rnf152"
"Slc12a8"	0.417025310167306	"Slc12a8"
"Slc6a9"	0.435556596281425	"Slc6a9"
"Tmem151b"	0.402947059822326	"Tmem151b"
"Tmem38b"	0.417263648444327	"Tmem38b"
"Tubgcp3"	0.412575916774434	"Tubgcp3"
"Wdr41"	0.490688656137257	"Wdr41"
"Xk"	0.426087758519098	"Xk"
