"V1" "V2"
"1" "NLRP2" "grey"
"2" "MFAP5" "darkolivegreen"
"3" "TBX18" "grey"
"4" "MAGEA6" "grey"
"5" "TGIF2.C20orf24" "grey"
"6" "PEG3" "grey"
"7" "FDCSP" "grey"
"8" "SPARC" "grey"
"9" "ZFP91.CNTF" "brown"
"10" "CDH19" "saddlebrown"
"11" "CRHR1" "darkmagenta"
"12" "HLA.DQB1" "grey"
"13" "ZNF727" "grey"
"14" "MYEOV" "grey"
"15" "HAPLN1" "darkorange2"
"16" "OLFM1" "darkorange"
"17" "TPTEP1" "grey"
"18" "PTPRT" "darkgreen"
"19" "MAGEA3" "brown"
"20" "MUCL1" "floralwhite"
"21" "TRIM58" "grey"
"22" "HOXB9" "darkgrey"
"23" "TMEM189.UBE2V1" "grey"
"24" "PTN" "grey"
"25" "NLGN4X" "grey"
"26" "IGSF1" "mediumpurple3"
"27" "LTF" "darkturquoise"
"28" "LOC285505" "orange"
"29" "LINC01224" "grey"
"30" "GPR75.ASB3" "brown"
"31" "FBXL7" "lightsteelblue1"
"32" "HAND2" "lightsteelblue1"
"33" "BRINP3" "grey"
"34" "DEFB1" "orangered3"
"35" "GRIN2A" "grey"
"36" "COL3A1" "orange"
"37" "GABRB3" "grey"
"38" "CSF2RA" "grey"
"39" "TEX15" "bisque4"
"40" "LOC100128885" "grey"
"41" "KRT81" "greenyellow"
"42" "MUC5AC" "brown"
"43" "INO80B.WBP1" "brown"
"44" "MUC12" "brown"
"45" "SLC17A9" "grey"
"46" "NCAN" "grey60"
"47" "HOXA7" "darkolivegreen"
"48" "KIF1A" "darkolivegreen"
"49" "ACAN" "grey60"
"50" "HOXA9" "grey"
"51" "C1orf186" "grey"
"52" "HOXA5" "darkolivegreen"
"53" "CYYR1" "lightcyan"
"54" "IFI16" "paleturquoise"
"55" "HSPB8" "grey"
"56" "PPP1R1A" "darkmagenta"
"57" "EDIL3" "sienna3"
"58" "HOXB2" "black"
"59" "SPHKAP" "grey"
"60" "GRIK3" "purple"
"61" "CCDC8" "grey"
"62" "TDRD1" "brown"
"63" "HLA.DPB1" "grey"
"64" "CLIC3" "brown"
"65" "GABRG3" "thistle1"
"66" "KCTD14" "brown4"
"67" "HOXB6" "brown"
"68" "NTRK2" "pink"
"69" "ZFHX4" "mediumorchid"
"70" "LINC01806" "grey"
"71" "ZNF257" "grey"
"72" "SLITRK4" "darkorange2"
"73" "ZFPM2" "mediumorchid"
"74" "DLX1" "green"
"75" "BRINP1" "grey"
"76" "IFI27" "tan"
"77" "TRO" "green"
"78" "CYBA" "salmon"
"79" "MYBPC1" "grey"
"80" "ST8SIA6.AS1" "grey"
"81" "FOXF2" "darkolivegreen"
"82" "A2M" "saddlebrown"
"83" "IGFN1" "brown"
"84" "LINC01667" "grey"
"85" "KIAA1644" "grey"
"86" "FLRT2" "violet"
"87" "FOXQ1" "darkolivegreen"
"88" "LINC02538" "grey"
"89" "PIP" "floralwhite"
"90" "RNF212" "grey"
"91" "ZIC2" "grey"
"92" "GSTM1" "grey"
"93" "LY6D" "honeydew1"
"94" "ALOX15" "pink"
"95" "HOXA4" "darkolivegreen"
"96" "SCGB2A2" "grey"
"97" "NID1" "saddlebrown"
"98" "SLC6A15" "saddlebrown"
"99" "HOXA10.AS" "brown"
"100" "KCNQ3" "lavenderblush3"
"101" "HLA.DPA1" "grey"
"102" "SCEL" "grey"
"103" "ICAM2" "salmon"
"104" "HOXB13" "grey"
"105" "ANPEP" "grey"
"106" "VCAN" "grey"
"107" "CLEC11A" "brown"
"108" "MAGI2.AS3" "mediumorchid"
"109" "APOBEC3C" "grey"
"110" "CPXM2" "grey"
"111" "B4GALNT2" "grey"
"112" "C10orf90" "lightgreen"
"113" "GJA9" "grey"
"114" "F2RL3" "grey"
"115" "EGFLAM" "lavenderblush3"
"116" "CALML5" "brown"
"117" "GRAMD1B" "grey"
"118" "SBSN" "brown"
"119" "CELF2" "brown4"
"120" "CYP4F3" "yellowgreen"
"121" "GABRA5" "darkred"
"122" "LINC01139" "grey"
"123" "CNTNAP2" "grey"
"124" "LPL" "grey60"
"125" "XKR5" "orangered4"
"126" "PCDH11X" "grey"
"127" "DLC1" "magenta"
"128" "ZFP57" "lightgreen"
"129" "AGR2" "darkgrey"
"130" "LAMA1" "grey"
"131" "GJA1" "saddlebrown"
"132" "SLC44A5" "salmon4"
"133" "EGFL7" "brown"
"134" "CXCL5" "grey"
"135" "AFF2" "saddlebrown"
"136" "DMBX1" "purple"
"137" "PRSS33" "lightpink4"
"138" "HAS2" "grey"
"139" "ENPEP" "grey"
"140" "ACTG2" "darkturquoise"
"141" "SCGB1D2" "lightgreen"
"142" "PTH2R" "lightcyan"
"143" "ANO5" "darkorange2"
"144" "SYT13" "darkslateblue"
"145" "BCL11B" "grey"
"146" "NDUFA4L2" "purple"
"147" "ZNF423" "darkgrey"
"148" "THBD" "darkgreen"
"149" "SPDEF" "greenyellow"
"150" "GJB6" "grey"
"151" "GSTA1" "royalblue"
"152" "STK32A" "plum1"
"153" "BCHE" "orange"
"154" "MYO3A" "mediumorchid"
"155" "TMEM179" "grey"
"156" "ASB2" "cyan"
"157" "REXO1L2P" "brown"
"158" "SIX3.AS1" "palevioletred3"
"159" "RBAKDN" "royalblue"
"160" "SERPINB7" "grey"
"161" "FMO2" "darkmagenta"
"162" "LRP2" "white"
"163" "ZNF677" "grey"
"164" "HRASLS5" "brown"
"165" "PDCD6IPP2" "grey"
"166" "EPB41L3" "purple"
"167" "HOXD8" "brown"
"168" "CDH5" "grey"
"169" "NPW" "brown"
"170" "LOC729162" "grey"
"171" "NTRK3" "lightcyan1"
"172" "ST8SIA2" "lavenderblush3"
"173" "LRRC32" "grey"
"174" "TOX3" "navajowhite2"
"175" "POSTN" "orange"
"176" "HOXB4" "darkgrey"
"177" "ASXL3" "lightsteelblue1"
"178" "RHOJ" "grey60"
"179" "NUDT16P1" "grey"
"180" "CD74" "grey"
"181" "HIST1H3J" "brown4"
"182" "POTEF" "grey"
"183" "FAM180A" "lightpink4"
"184" "FAM19A5" "grey"
"185" "MEF2C" "sienna3"
"186" "ABO" "grey"
"187" "SLC1A3" "grey"
"188" "FHL1" "grey"
"189" "COL11A1" "orange"
"190" "NRN1" "grey"
"191" "CRISP3" "floralwhite"
"192" "ST8SIA4" "grey"
"193" "CP" "grey"
"194" "CFAP47" "thistle1"
"195" "ELN" "grey60"
"196" "CASP14" "grey"
"197" "GPRC5C" "mediumpurple3"
"198" "VAV1" "ivory"
"199" "LOC375196" "maroon"
"200" "FAM47E.STBD1" "grey"
"201" "CALB2" "lightgreen"
"202" "RHBDL3" "darkgreen"
"203" "HAGLR" "grey"
"204" "HOXA.AS3" "grey"
"205" "DMRT1" "darkmagenta"
"206" "MROH7" "green"
"207" "MT1E" "salmon"
"208" "KCNV1" "grey"
"209" "WDR17" "darkorange2"
"210" "PIGR" "brown"
"211" "NFASC" "grey"
"212" "RFLNA" "lightcyan1"
"213" "CHMP1B2P" "grey"
