"V1" "V2"
"1" "Gzmf" "darkmagenta"
"2" "H2.Q7" "brown4"
"3" "Oxtr" "mediumpurple3"
"4" "Rsc1a1" "brown4"
"5" "Pnpla3" "darkolivegreen"
"6" "Pira1" "salmon4"
"7" "Chil1" "skyblue1"
"8" "Dsp" "darkgrey"
"9" "Myl1" "darkorange2"
"10" "Prss35" "darkmagenta"
"11" "Bche" "darkolivegreen"
"12" "Lgals12" "darkolivegreen"
"13" "Dbpht2" "darkmagenta"
"14" "Ces1d" "darkolivegreen"
"15" "Lef1" "lightpink4"
"16" "Col17a1" "mediumpurple3"
"17" "Acta1" "darkorange2"
"18" "Lep" "darkolivegreen"
"19" "Kcna1" "darkolivegreen"
"20" "Slc4a1" "greenyellow"
"21" "Ifi214" "greenyellow"
"22" "Naip7" "brown4"
"23" "Plet1" "coral2"
"24" "Fam83a" "thistle1"
"25" "Mpz" "grey"
"26" "Syn3" "blue"
"27" "Mfsd4b3" "brown4"
"28" "Cap2" "darkorange2"
"29" "Adora1" "darkolivegreen"
"30" "Galr2" "maroon"
"31" "Icos" "sienna3"
"32" "Pgr" "brown4"
"33" "C130021I20Rik" "indianred4"
"34" "Diras2" "palevioletred2"
"35" "Aqp7" "darkolivegreen"
"36" "Rapgefl1" "brown"
"37" "Pgbd1" "violet"
"38" "Ccdc114" "brown4"
"39" "Samd3" "steelblue"
"40" "Fgf21" "darkgreen"
"41" "Mag" "lightcyan1"
"42" "H2.Q6" "royalblue"
"43" "Erbb3" "darkgrey"
"44" "Ugt1a5" "blue"
"45" "Cacna1e" "darkolivegreen"
"46" "Glycam1" "thistle1"
"47" "Dsc2" "lightsteelblue"
"48" "X3000002C10Rik" "plum1"
"49" "Cers1" "salmon2"
"50" "Rhov" "darkgreen"
"51" "Wnt4" "indianred4"
"52" "Adra1a" "coral1"
"53" "Miat" "lightyellow"
"54" "Prtn3" "darkolivegreen"
"55" "Rspo1" "magenta4"
"56" "Robo2" "indianred4"
"57" "Cyp2e1" "darkolivegreen"
"58" "Cfi" "darkmagenta"
"59" "Hist1h2ap" "brown4"
"60" "Phyhipl" "yellowgreen"
"61" "Scel" "maroon"
"62" "Cma1" "darkolivegreen"
"63" "A430090L17Rik" "brown4"
"64" "Arc" "brown4"
"65" "Arhgap8" "mediumpurple3"
"66" "Gpm6a" "darkolivegreen"
"67" "Mlxipl" "darkolivegreen"
"68" "Nlrp10" "lightsteelblue1"
"69" "Chadl" "brown"
"70" "P4htm" "lightpink3"
"71" "Smpd3" "brown4"
"72" "Prob1" "brown4"
"73" "Lad1" "brown4"
"74" "Crispld1" "darkolivegreen"
"75" "Nipal4" "darkmagenta"
"76" "Angptl1" "brown2"
"77" "Ccdc60" "brown4"
"78" "Retnla" "brown4"
"79" "Trp63" "lightsteelblue"
"80" "X4833418N02Rik" "sienna3"
"81" "X1500004A13Rik" "plum2"
"82" "Slc16a14" "brown4"
"83" "Tmem163" "brown"
"84" "Fxyd2" "brown4"
"85" "Il7" "brown4"
"86" "Kif19a" "grey"
"87" "Klrc1" "steelblue"
"88" "Tbx5" "grey"
"89" "Lix1" "brown4"
"90" "Slc12a5" "sienna3"
"91" "Mup2" "darkolivegreen"
"92" "Ggt7" "brown"
"93" "Tnfsf15" "darkviolet"
"94" "Tmem151b" "darkmagenta"
"95" "Sept3" "darkgrey"
"96" "Fras1" "blue"
"97" "Acss3" "darkolivegreen"
"98" "Cd96" "steelblue"
"99" "Dnmt3aos" "coral1"
"100" "Dnmt3l" "brown4"
"101" "Fam161b" "brown4"
"102" "Fcho1" "darkviolet"
"103" "Iqsec3" "brown"
"104" "Mylpf" "darkorange2"
"105" "Nxph4" "brown"
"106" "Olfr56" "palevioletred3"
"107" "Serpina3c" "darkolivegreen"
"108" "Zfp296" "brown"
"109" "C530005A16Rik" "darkgrey"
"110" "Cabp1" "brown"
"111" "Has1" "brown"
"112" "Pygm" "darkorange2"
"113" "Nrap" "darkorange2"
"114" "Prf1" "steelblue"
"115" "Gm9079" "brown"
"116" "BC035044" "salmon2"
"117" "Tfap2a" "darkgrey"
"118" "Vmn2r29" "palevioletred2"
"119" "X3830417A13Rik" "brown"
"120" "Ccdc116" "honeydew1"
"121" "Ankle1" "darkseagreen3"
"122" "Crabp1" "brown4"
"123" "Trmo" "brown4"
"124" "Cd8a" "sienna3"
"125" "Gimap3" "steelblue"
"126" "Cd209e" "darkolivegreen"
"127" "X1700028K03Rik" "salmon4"
"128" "Efcc1" "antiquewhite4"
"129" "Ntrk3" "brown4"
"130" "Ppp1r3e" "brown4"
"131" "Thpo" "honeydew"
"132" "Tnni2" "darkorange2"
"133" "X4930429F24Rik" "brown"
"134" "A630066F11Rik" "sienna3"
"135" "Casq1" "darkorange2"
"136" "Ccl19" "honeydew"
"137" "Drd1" "brown"
