cor	genes
-0.405018255	AGER
-0.441891205	AIRN
0.435335952	ALDH3B1
0.445876898	AP3S1
0.413928855	ARFGEF1
-0.525008854	ASGR1
-0.430680522	B3GAT1
0.524648413	BABAM2
-0.441029587	C10orf35
0.405901592	C11orf24
-0.44136342	C12orf80
0.441594822	C16orf72
-0.50231199	C6orf118
-0.400475866	CALCB
-0.413297932	CASC15
-0.444046341	CCDC33
-0.488172819	CD69
-0.407311087	CDKN1B
-0.403558796	CENPW
-0.40550266	CRMP1
-0.41398017	CYB5R4
-0.412908031	EPM2A
-0.410973477	EVC2
-0.420379974	FAM187B
-0.40727326	FAM225B
-0.410282257	FAM27E2
0.401814737	FITM2
-0.452455517	FRMPD2B
-0.458943827	FSCN3
-0.404724926	GCC2.AS1
-0.420846906	GJA10
0.405964629	GNAQ
0.432544919	GOLGA5
-0.403738101	GRASPOS
-0.478888991	GRTP1.AS1
-0.500981993	HDAC2.AS2
0.409395481	HDLBP
-0.403083595	HIST1H4A
-0.556282651	HSF2
0.411358976	IL13RA1
0.403218094	IMPAD1
0.457211318	INPP5A
0.591244473	IQSEC1
-0.490723146	KCNG2
0.400470822	KDELR2
-0.431959068	KHDC1
-0.402882867	KLB
-0.429465175	KPNA5
0.428185457	KTN1
-0.409794051	LBX2
-0.503469586	LINC00240
-0.46375789	LINC00927
-0.401193365	LINC00960
0.495306619	LINC01291
-0.427595597	LINC01424
-0.439468407	LINC01465
-0.425355149	LINC01790
-0.449372537	LINC01948
-0.401881503	LINC02097
-0.519261405	LINC02396
-0.402512327	LOC100126447
-0.400944875	LOC101927053
-0.418473858	LOC101927365
-0.452806758	LOC101927709
-0.44928139	LOC101928009
-0.428134968	LOC101928516
-0.448311541	LOC101929653
-0.404143996	LOC105377763
-0.433007626	LOC105377849
-0.458858291	LOC107984974
-0.470099354	LOC158435
-0.408760909	LOC283731
-0.400406315	LOC284241
-0.602822604	LYRM2
-0.427994267	MAGED4
-0.427994267	MAGED4B
-0.475133881	MCM9
-0.428603871	MIR200CHG
-0.472060137	MIR7515HG
0.420950079	MMP1
0.424749124	MPV17
-0.442002251	MYT1
-0.40059708	MZT2A
-0.494222607	NANOS3
-0.433279356	NDUFAF4
-0.464193653	NGB
-0.417828457	NPBWR2
0.429556191	NPIPA1
0.497378591	NRBP1
-0.460321245	NT5DC1
-0.41908368	OR11L1
-0.402388476	OR51G2
-0.404547342	OR51S1
-0.443287133	OR52W1
-0.423201146	OR7E14P
-0.403532998	OSGEPL1.AS1
-0.419935121	P4HA3.AS1
-0.415565684	PDE6B
-0.536672087	PGM5.AS1
-0.472636808	PIRT
0.41110946	PJA2
-0.407498923	PM20D2
0.408365609	PPP2R3A
-0.482098587	PREP
-0.420591366	PRPF3
-0.450864969	PTPRO
0.428092292	RAB2A
-0.414999927	RASA4
-0.413223383	RFX4
0.401659416	RIDA
-0.410026254	RIMBP2
0.422232151	RIN2
-0.404899844	RIT2
-0.456335037	RNF5P1
0.477629964	SEC24A
0.440121001	SEC31A
0.430102583	SERINC5
-0.475538479	SERPINA9
-0.425721149	SLC25A25.AS1
0.420388096	SLC25A43
0.415519779	SPDL1
-0.425206761	SRSF12
-0.442962107	STAP2
-0.432676127	STARD6
0.400407766	STAU2
-0.450621423	TINAGL1
-0.408537874	TMEM151B
0.427954985	TRIP11
-0.400009187	TUSC1
-0.437850619	TUSC5
0.421678431	TXNDC11
-0.418498922	VSTM2A
-0.453748706	WDR86
0.408795012	ZC3H7A
0.419656879	ZHX3
-0.409082832	ZNF648
-0.442384259	ZNF705A
-0.402299925	ZSCAN9
0.417367508	ZSWIM1
-0.412239832	ZUFSP
