"cor"	"genes"
"X1700112H15Rik"	-0.462433949879503	"X1700112H15Rik"
"X1810030O07Rik"	0.467580041246917	"X1810030O07Rik"
"X3830406C13Rik"	0.405887938167123	"X3830406C13Rik"
"X4933427E11Rik"	-0.405868535882727	"X4933427E11Rik"
"X4933431G14Rik"	-0.457779905668652	"X4933431G14Rik"
"Abcg5"	-0.442482818081973	"Abcg5"
"Ahr"	0.417483823820578	"Ahr"
"Ankrd29"	0.416228742561224	"Ankrd29"
"Anp32e"	0.438700064711103	"Anp32e"
"Arhgef11"	0.419461198198662	"Arhgef11"
"Atpaf2"	-0.415085879679284	"Atpaf2"
"Bccip"	-0.433157965826526	"Bccip"
"Bmx"	-0.460653476798862	"Bmx"
"Bub1"	0.426302637942103	"Bub1"
"Cars2"	-0.415359716336751	"Cars2"
"Cd300ld4"	0.461764054472384	"Cd300ld4"
"Cd300ld5"	0.461764054472384	"Cd300ld5"
"Cdkl1"	0.511643971572163	"Cdkl1"
"Cenph"	0.453952004216918	"Cenph"
"Cipc"	0.408291987119782	"Cipc"
"Clec4a1"	0.432787845920767	"Clec4a1"
"Dab2"	0.427723717517329	"Dab2"
"Depdc5"	0.492759462234068	"Depdc5"
"Elp2"	0.415456161256422	"Elp2"
"Exoc4"	0.467518878749113	"Exoc4"
"Frem3"	-0.408152877608108	"Frem3"
"Gabarapl1"	-0.459232089052955	"Gabarapl1"
"Gdap1l1"	-0.410734055902592	"Gdap1l1"
"Gdf2"	-0.457703666673457	"Gdf2"
"Gm10549"	-0.403161242602342	"Gm10549"
"Gm12709"	-0.418265018602766	"Gm12709"
"Gm3317"	-0.467623635410795	"Gm3317"
"Gm3488"	-0.467623635410795	"Gm3488"
"Gnl2"	0.413460647363641	"Gnl2"
"Hmgxb4"	0.485854601929481	"Hmgxb4"
"Hpgds"	0.418693623606294	"Hpgds"
"Htr3b"	-0.440057843718889	"Htr3b"
"Kif24"	0.415383558903076	"Kif24"
"Knl1"	0.400163169009478	"Knl1"
"Krt71"	-0.435286776135396	"Krt71"
"Lcorl"	0.435894073105307	"Lcorl"
"Letmd1"	0.423556705068006	"Letmd1"
"Lrrc26"	-0.429174664362838	"Lrrc26"
"Lysmd2"	-0.408698159923406	"Lysmd2"
"Mbd1"	0.468447773214132	"Mbd1"
"Mcm3"	0.415977396897756	"Mcm3"
"Mcmbp"	0.404872853088431	"Mcmbp"
"Msl2"	0.41605637158306	"Msl2"
"Nol8"	0.401283525146339	"Nol8"
"Parpbp"	0.471762282935304	"Parpbp"
"Pcx"	-0.415863673531822	"Pcx"
"Pgr15l"	-0.407164331085774	"Pgr15l"
"Pole"	0.422518479434395	"Pole"
"Polr3e"	0.447282098562543	"Polr3e"
"Pou2f2"	0.443119906379658	"Pou2f2"
"Ppcs"	-0.460156379341454	"Ppcs"
"Rmdn2"	0.475556421082729	"Rmdn2"
"Rnase6"	0.419010460684272	"Rnase6"
"Rorb"	0.408648472187173	"Rorb"
"Rpap1"	-0.430018397261253	"Rpap1"
"Slc13a3"	0.40145007844656	"Slc13a3"
"Slc36a4"	0.434393961787061	"Slc36a4"
"Tbc1d8"	0.407440707028417	"Tbc1d8"
"Tm6sf1"	0.444776268926469	"Tm6sf1"
"Tmed10"	0.409875568674918	"Tmed10"
"Tmem106b"	0.408920605560152	"Tmem106b"
"Trim7"	-0.424133710216501	"Trim7"
"Trpm6"	0.420437227569685	"Trpm6"
"Vmn2r113"	-0.463983792467857	"Vmn2r113"
