xeno	tx	Lower_CL	logfc_estimate	Upper_CL	P	response
BCM-0002	Control	1.073183	1.345248	1.617312	_	PD
BCM-0002	Carbo	-1.060316	-0.589087	-0.117857	<.0001	PR
BCM-0002	Doc20	-0.572	-0.100771	0.370459	<.0001	SD
BCM-0002	Doc20+Carbo	-1.122639	-0.651409	-0.18018	<.0001	PR
BCM-0002	Doc30	-0.940561	-0.469331	0.001899	<.0001	SD
BCM-0002	Doc30+Carbo	-1.323781	-0.852551	-0.381321	<.0001	PR
BCM-0104	Control	0.239955	2.427777	4.6156	_	PD
BCM-0104	Carbo	-13.961285	-11.773462	-9.585639	<.0001	CR
BCM-0104	Doc20	-7.218514	-5.030692	-2.842869	0.0001	PR
BCM-0132	Control	1.594684	2.326292	3.057901	_	PD
BCM-0132	Carbo	0.371814	1.566526	2.761237	0.2672	PD
BCM-0132	Doc20	-2.032804	-0.838093	0.356618	0.0002	PR
BCM-0132	Doc20+Carbo	-2.236798	-1.042087	0.152624	0.0001	PR
BCM-0132	Doc30	-3.934988	-2.740277	-1.545566	<.0001	PR
BCM-0132	Doc30+Carbo	-4.742031	-3.278815	-1.815599	<.0001	PR
BCM-2147	Control	1.816951	3.249651	4.682351	_	PD
BCM-2147	Carbo	-13.638843	-11.299254	-8.959665	<.0001	CR
BCM-2147	Doc20	-0.902054	1.437535	3.777125	0.1814	PD
BCM-2147	Doc20+Carbo	-13.617977	-11.278387	-8.938798	<.0001	CR
BCM-2147	Doc30	-7.752247	-5.412657	-3.073068	<.0001	PR
BCM-2147	Doc30+Carbo	-13.699774	-11.360185	-9.020595	<.0001	CR
BCM-2665	Control	1.482957	2.36236	3.241763	_	PD
BCM-2665	Carbo	0.648788	1.910608	3.172429	0.5556	PD
BCM-2665	Doc20	-1.504418	-0.242598	1.019223	0.0015	SD
BCM-2665	Doc20+Carbo	-2.666552	-0.419438	1.827676	0.025	SD
BCM-2665	Doc30	-3.837918	-1.590805	0.656309	0.002	PR
BCM-2665	Doc30+Carbo	-3.995714	-1.7486	0.498513	0.0014	PR
BCM-3107	Control	-0.02058	1.081163	2.182906	_	PD
BCM-3107	Carbo	-4.60191	-3.387299	-2.172688	<.0001	PR
BCM-3107	Doc20	-7.896667	-6.682056	-5.467445	<.0001	PR
BCM-3107	Doc20+Carbo	-5.127634	-3.426301	-1.724967	<.0001	PR
BCM-3204	Control	0.802191	1.173095	1.543998	_	PD
BCM-3204	Carbo	-1.870214	-1.227791	-0.585367	<.0001	PR
BCM-3204	Doc20	-1.668812	-1.026389	-0.383965	<.0001	PR
BCM-3204	Doc20+Carbo	-2.674821	-2.032398	-1.389974	<.0001	PR
BCM-3204	Doc30	-2.362031	-1.719607	-1.077183	<.0001	PR
BCM-3204	Doc30+Carbo	-2.752987	-2.110563	-1.46814	<.0001	PR
BCM-3469	Control	1.009389	2.046257	3.083126	_	PD
BCM-3469	Carbo	-0.590104	0.556197	1.702498	0.0582	PD
BCM-3469	Doc20	-2.151579	-1.11471	-0.077842	0.0001	PR
BCM-3561	Control	-0.124906	2.085587	4.296081	_	PD
BCM-3561	Carbo	-1.921832	0.288661	2.499155	0.2092	PD
BCM-3561	Doc20	-6.616644	-4.40615	-2.195657	0.0023	PR
BCM-3611	Control	0.474339	1.919824	3.365308	_	PD
BCM-3611	Carbo	-1.14407	1.108554	3.361178	0.5387	PD
BCM-3611	Doc20	-8.628363	-5.21646	-1.804557	0.0004	PR
BCM-3611	Doc20+Carbo	-7.873315	-4.461412	-1.049509	0.0013	PR
BCM-3611	Doc30	-9.900988	-6.489085	-3.077182	<.0001	PR
BCM-3611	Doc30+Carbo	-11.088945	-7.677043	-4.26514	<.0001	PR
BCM-3887	Control	1.802547	2.857281	3.912015	_	PD
BCM-3887	Carbo	-8.002383	-6.579686	-5.156989	<.0001	PR
BCM-3887	Doc20	-9.975893	-8.553196	-7.1305	<.0001	PR
BCM-3887	Doc20+Carbo	-8.035634	-5.497324	-2.959013	<.0001	PR
BCM-3887	Doc30	-11.145707	-8.607396	-6.069086	<.0001	PR
BCM-3887	Doc30+Carbo	-11.621905	-8.558179	-5.494454	<.0001	PR
BCM-3904	Control	1.789658	2.257805	2.725952	_	PD
BCM-3904	Carbo	-0.308285	0.42127	1.150824	0.0002	PD
BCM-3904	Doc20	-12.117267	-11.012258	-9.90725	<.0001	CR
BCM-3904	Doc20+Carbo	-9.064947	-7.959939	-6.854931	<.0001	PR
BCM-3904	Doc30	-12.334936	-11.229927	-10.124919	<.0001	CR
BCM-3904	Doc30+Carbo	-12.608748	-11.284628	-9.960509	<.0001	CR
BCM-3936	Control	1.954907	2.168968	2.383029	_	PD
BCM-3936	Carbo	1.398996	1.677741	1.956486	0.0071	PD
BCM-3936	Doc20	-1.533811	-1.157711	-0.78161	<.0001	PR
BCM-4013	Control	0.456595	1.438691	2.420788	_	PD
BCM-4013	Carbo	-4.924116	-3.479513	-2.03491	<.0001	PR
BCM-4013	Doc20	-8.388467	-6.590564	-4.792661	<.0001	PR
BCM-4013	Doc20+Carbo	-10.671438	-7.734816	-4.798193	<.0001	PR
BCM-4195	Control	1.104234	2.799271	4.494309	_	PD
BCM-4195	Carbo	-13.639029	-11.563041	-9.487052	<.0001	CR
BCM-4195	Doc20	-4.935173	-2.859185	-0.783196	0.0003	PR
BCM-4272	Control	0.967226	2.0187	3.070173	_	PD
BCM-4272	Carbo	-2.757757	-1.292183	0.173392	0.0007	PR
BCM-4272	Doc20	-5.101986	-3.636411	-2.170837	<.0001	PR
BCM-4272	Doc20+Carbo	-7.228326	-4.616157	-2.003988	<.0001	PR
BCM-4272	Doc30	-3.838465	-1.226296	1.385873	0.0246	PR
BCM-4664	Control	0.945132	2.658975	4.372818	_	PD
BCM-4664	Carbo	-1.020876	1.947587	4.916049	0.668	PD
BCM-4664	Doc20	-4.925155	-1.956692	1.011771	0.0111	PR
BCM-4664	Doc20+Carbo	-3.250942	-0.282479	2.685983	0.0882	SD
BCM-4664	Doc30	-11.007591	-8.039128	-5.070665	<.0001	PR
