"Resample01"	"Resample02"	"Resample03"	"Resample04"	"Resample05"	"Resample06"	"Resample07"	"Resample08"	"Resample09"	"Resample10"
"1"	1	1	2	2	1	1	2	1	2	1
"2"	2	2	4	3	2	2	3	2	3	2
"3"	3	4	5	4	4	4	4	3	4	4
"4"	5	6	6	5	5	5	5	4	6	6
"5"	6	8	7	7	6	6	6	5	7	7
"6"	8	9	8	8	8	7	7	6	8	10
"7"	9	10	9	9	9	8	8	7	9	11
"8"	10	12	10	11	10	9	11	10	10	12
"9"	11	14	11	12	12	11	13	11	11	14
"10"	12	15	12	13	14	13	14	13	12	15
"11"	13	16	13	14	15	17	16	16	13	16
"12"	14	17	14	15	16	18	17	17	14	17
"13"	15	18	15	17	17	21	18	21	16	18
"14"	17	19	16	18	20	22	19	22	17	19
"15"	19	20	17	21	21	23	21	23	18	20
"16"	21	23	20	22	22	24	23	25	19	21
"17"	23	24	21	25	23	25	25	26	20	22
"18"	24	25	22	26	25	26	26	27	21	23
"19"	25	26	23	28	26	27	28	28	23	24
"20"	27	27	24	29	27	29	29	29	24	26
"21"	29	28	25	31	28	31	31	30	25	28
"22"	31	29	28	32	29	32	32	31	26	31
"23"	32	31	29	33	30	33	33	32	28	33
"24"	33	32	30	34	31	34	34	33	30	34
"25"	34	33	31	35	34	35	35	34	31	36
"26"	36	34	32	36	35	36	36	35	33	37
"27"	37	36	33	37	37	37	37	36	34	38
"28"	38	38	36	38	38	38	38	38	36	39
"29"	39	39	38	39	40	39	39	40	37	40
"30"	40	41	39	40	42	41	40	42	40	41
"31"	41	42	40	41	43	43	42	43	41	42
"32"	43	43	41	42	44	44	43	44	43	43
"33"	44	44	45	44	45	45	44	45	45	44
