"Resample01"	"Resample02"	"Resample03"	"Resample04"	"Resample05"	"Resample06"	"Resample07"	"Resample08"	"Resample09"	"Resample10"
"1"	2	1	2	1	2	1	1	2	1	1
"2"	4	2	3	2	3	2	2	3	2	2
"3"	5	4	5	3	5	3	3	4	3	4
"4"	6	5	7	4	6	5	6	5	4	7
"5"	7	8	9	5	7	6	7	6	5	8
"6"	8	9	10	6	9	7	8	7	7	9
"7"	9	11	11	7	12	8	9	8	8	10
"8"	11	12	12	8	13	9	10	9	9	11
"9"	12	13	13	9	14	10	11	10	11	12
"10"	14	14	14	11	15	11	12	11	13	13
"11"	15	15	15	13	17	12	13	13	14	14
"12"	16	16	16	14	18	14	14	14	16	15
"13"	17	17	17	16	19	15	15	15	17	17
"14"	19	20	18	17	20	16	16	17	18	19
"15"	20	21	20	19	22	17	17	18	20	20
"16"	21	23	23	20	23	18	21	19	23	21
"17"	24	24	24	21	24	19	22	21	24	22
"18"	25	25	25	22	25	22	23	23	25	23
"19"	27	26	26	24	27	23	24	24	26	26
"20"	28	28	28	26	28	26	25	25	27	27
"21"	29	29	29	27	29	27	26	26	28	28
"22"	30	30	31	28	30	28	28	27	29	30
"23"	31	32	32	29	32	29	29	28	30	31
"24"	32	33	33	30	33	30	30	30	32	32
"25"	34	34	34	31	34	31	31	33	33	34
"26"	35	35	35	32	35	34	32	35	35	35
"27"	36	36	36	33	36	35	33	36	36	36
"28"	37	37	37	36	37	37	37	37	37	37
