"Resample01"	"Resample02"	"Resample03"	"Resample04"	"Resample05"	"Resample06"	"Resample07"	"Resample08"	"Resample09"	"Resample10"
"1"	1	3	1	1	1	1	1	2	3	3
"2"	2	4	2	2	2	2	3	3	4	4
"3"	7	7	3	4	5	3	4	4	5	5
"4"	9	8	4	5	6	4	6	8	6	6
"5"	10	9	5	6	7	7	7	9	7	7
"6"	11	11	6	7	8	8	8	10	8	8
"7"	12	12	7	9	10	9	9	11	9	9
"8"	13	13	8	11	12	10	10	12	10	12
"9"	14	14	9	12	13	11	12	13	11	13
"10"	15	15	10	15	14	12	13	14	14	15
"11"	16	16	11	16	15	13	14	15	15	16
"12"	17	17	12	17	16	15	15	16	16	18
"13"	19	18	14	18	17	16	16	19	17	19
"14"	20	19	16	20	18	17	17	20	19	20
"15"	21	20	17	25	19	18	18	21	20	21
"16"	25	21	18	26	21	19	19	22	21	22
"17"	26	23	19	27	22	20	20	23	22	23
"18"	27	24	21	28	23	21	23	24	23	25
"19"	29	25	22	29	24	22	25	25	26	27
"20"	30	26	23	31	25	25	27	26	27	28
"21"	31	28	24	32	27	26	28	27	29	29
"22"	32	31	28	33	29	27	29	28	30	30
"23"	34	32	29	34	30	28	31	30	31	31
"24"	35	34	30	35	31	30	32	31	33	32
"25"	36	35	34	36	33	33	33	32	34	33
"26"	37	36	36	37	35	35	34	33	35	36
"27"	38	37	37	38	38	36	35	35	36	38
"28"	39	38	38	39	39	37	39	36	37	39
"29"	40	39	39	40	40	39	40	38	38	40
"30"	42	40	40	41	41	40	41	39	39	41
"31"	43	41	41	42	42	41	42	40	40	43
"32"	44	44	44	44	43	43	43	42	44	44
"33"	45	45	45	45	45	44	45	43	45	45
