"genes"	"HGNC.symbol"
"1"	"Taf7"	"TAF7"
"2"	"Tmem230"	"TMEM230"
"3"	"Col9a2"	"COL9A2"
"4"	"Slc25a2"	"SLC25A2"
"5"	"Stap1"	"STAP1"
"6"	"Cebpg"	"CEBPG"
"7"	"Rps16"	"RPS16"
"8"	"Col1a2"	"COL1A2"
"9"	"Dock2"	"DOCK2"
"10"	"Rps19bp1"	"RPS19BP1"
"11"	"Dmtn"	"DMTN"
"12"	"Proser1"	"PROSER1"
"13"	"Crebl2"	"CREBL2"
"14"	"Adra2a"	"ADRA2A"
"15"	"Fubp1"	"FUBP1"
"16"	"Actl7a"	"ACTL7A"
"17"	"Cdhr5"	"CDHR5"
"18"	"Evc2"	"EVC2"
"19"	"Lrit3"	"LRIT3"
"20"	"Pggt1b"	"PGGT1B"
"21"	"Map3k8"	"MAP3K8"
"22"	"Akap11"	"AKAP11"
"23"	"Fgf1"	"FGF1"
"24"	"Tex10"	"TEX10"
"25"	"Sult1c1"	"SULT1C3"
"26"	"Actl7b"	"ACTL7B"
"27"	"Lgmn"	"LGMN"
"28"	"Neu3"	"NEU3"
"29"	"Wls"	"WLS"
"30"	"Ccdc85c"	"CCDC85C"
"31"	"Gpr19"	"GPR19"
"32"	"Lemd2"	"LEMD2"
"33"	"Tnfaip6"	"TNFAIP6"
"34"	"Ptafr"	"PTAFR"
"35"	"Gng12"	"GNG12"
"36"	"Entpd4"	"ENTPD4"
"37"	"Pigh"	"PIGH"
"38"	"Adprhl1"	"ADPRHL1"
"39"	"Hnrnpc"	"HNRNPC"
"40"	"Btg4"	"BTG4"
"41"	"Spry4"	"SPRY4"
"42"	"Slc5a12"	"SLC5A12"
"43"	"Olfr520"	"OR2AT4"
"44"	"Parp4"	"PARP4"
"45"	"Slc6a4"	"SLC6A4"
"46"	"Akap13"	"AKAP13"
"47"	"Trnp1"	"TRNP1"
"48"	"Zbtb40"	"ZBTB40"
"49"	"Chrna7"	"CHRNA7"
"50"	"Rmnd5b"	"RMND5B"
"51"	"Kdf1"	"KDF1"
"52"	"Mrgprg"	"MRGPRG"
"53"	"Ppm1k"	"PPM1K"
"54"	"Gnal"	"GNAL"
"55"	"Pou2af1"	"POU2AF1"
"56"	"Itch"	"ITCH"
"57"	"Hcn2"	"HCN2"
"58"	"Tpbgl"	"TPBGL"
"59"	"Chmp1b"	"CHMP1B"
"60"	"Slco2b1"	"SLCO2B1"
"61"	"Dbx1"	"DBX1"
"62"	"Rrh"	"RRH"
"63"	"Invs"	"INVS"
"64"	"Dph5"	"DPH5"
"65"	"Ccnk"	"CCNK"
"66"	"Hps4"	"HPS4"
"67"	"Ggt1"	"GGTLC1"
"68"	"Tmem189"	"TMEM189-UBE2V1"
"69"	"Plekhh1"	"PLEKHH1"
"70"	"Wnt4"	"WNT4"
"71"	"Pmp22"	"PMP22"
"72"	"Adam21"	"ADAM21"
"73"	"Eif5a"	"EIF5AL1"
"74"	"Rcan2"	"RCAN2"
"75"	"Slc39a12"	"SLC39A12"
"76"	"Nectin4"	"NECTIN4"
"77"	"Ccnd1"	"CCND1"
"78"	"Npepl1"	"NPEPL1"
"79"	"Galnt13"	"GALNT13"
"80"	"Ddx47"	"DDX47"
"81"	"Lmf1"	"LMF1"
"82"	"Rrm1"	"RRM1"
"83"	"Mia2"	"MIA2"
"84"	"Lrrc63"	"LRRC63"
"85"	"Usp8"	"USP8"
"86"	"Ppp1r3c"	"PPP1R3C"
"87"	"Efhd2"	"EFHD2"
"88"	"Enpp5"	"ENPP5"
"89"	"Polr2j"	"POLR2J"
"90"	"Loxl2"	"LOXL2"
"91"	"Tbc1d2b"	"TBC1D2B"
"92"	"Rbpms2"	"RBPMS2"
"93"	"Naa35"	"NAA35"
"94"	"Ints4"	"INTS4"
"95"	"Ipo8"	"IPO8"
"96"	"Dkk1"	"DKK1"
"97"	"Ywhab"	"YWHAB"
"98"	"Dynlrb1"	"DYNLRB1"
"99"	"Palmd"	"PALMD"
"100"	"Nhlrc3"	"NHLRC3"
"101"	"Dock4"	"DOCK4"
"102"	"Zglp1"	"ZGLP1"
"103"	"Raver1"	"RAVER1"
"104"	"Pygm"	"PYGM"
"105"	"Psma8"	"PSMA8"
"106"	"Slc9a1"	"SLC9A1"
"107"	"Csgalnact1"	"CSGALNACT1"
"108"	"Cstf2t"	"CSTF2T"
"109"	"Npc1"	"NPC1"
"110"	"Cyp4a32"	"CYP4A11"
"111"	"Tomm20l"	"TOMM20L"
